Service Item In Oks,Service Item Description,Customer Name,Pod Name,Data Center Name
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ-DEV2,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ-DEV3,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ-DEV4,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,7-ELEVEN,EBWJ-TEST,us-phoenix-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,A5-DB Operations (M) Berhad,EXAJ,ap-singapore-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,A5-DB Operations (M) Berhad,EXAJ-DEV1,ap-singapore-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,A5-DB Operations (M) Berhad,EXAJ-TEST,ap-singapore-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU DHABI Airports Company - ADAC,HCTS,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU DHABI Airports Company - ADAC,HCTS-DEV2,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU DHABI Airports Company - ADAC,HCTS-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,EWZP,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,EWZP-DEV1,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,EWZP-DEV3,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,EWZP-TEST,me-dubai-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,HDLM,uk-london-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ABU Dhabi Distribution Company,HDLM-TEST,uk-london-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV1,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV10,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV11,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV12,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV2,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV3,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV4,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV5,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV6,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV7,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV8,eu-frankfurt-1
B85679,Oracle Database Vault and Break Glass for Fusion Cloud Service - Each,ADEO Services,EGLW-DEV9,eu-frankfurt-1
