Service Item In Oks,Service Item Description,Name,Environment Name,Contract Start Date,Contract End Date
B63680,Oracle Fusion Global Payroll Cloud Service,"American Career College, Inc.",HUF,,
B63680,Oracle Fusion Global Payroll Cloud Service,"American Career College, Inc.",JLF,,
B63680,Oracle Fusion Global Payroll Cloud Service,"American Career College, Inc.",ZBG,,
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,3D Systems Corporation,HCIE,2014-12-08 00:00:00,2017-12-07 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,3D Systems Corporation,HCIE,2017-12-08 00:00:00,2019-12-07 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,3D Systems Corporation,HCIE,2017-12-08 00:00:00,2024-12-07 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,3D Systems Corporation,HCIE-DEV1,2014-12-08 00:00:00,2017-12-07 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,3D Systems Corporation,HCIE-DEV1,2017-12-08 00:00:00,2019-12-07 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,3D Systems Corporation,HCIE-DEV1,2017-12-08 00:00:00,2024-12-07 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,3D Systems Corporation,HCIE-TEST,2014-12-08 00:00:00,2017-12-07 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,3D Systems Corporation,HCIE-TEST,2017-12-08 00:00:00,2019-12-07 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,3D Systems Corporation,HCIE-TEST,2017-12-08 00:00:00,2024-12-07 00:00:00
B67290,Oracle Fusion Global Payroll Cloud Service - Hosted Named User,AEES Inc.,HCNH,2015-05-26 00:00:00,2019-05-25 00:00:00
